CMDLINE 'c:\users\pryerc\my repo\study\particle_simulator\venv\scripts\python.exe' simulator.py
MEM 0.496094 1537377537.3808
MEM 8.667969 1537377537.5032
MEM 12.777344 1537377537.6174
MEM 16.535156 1537377537.7120
MEM 19.902344 1537377537.8198
MEM 24.441406 1537377537.9456
MEM 28.601562 1537377538.0548
MEM 34.609375 1537377538.1640
MEM 39.351562 1537377538.2732
MEM 42.984375 1537377538.3844
MEM 44.125000 1537377538.4946
MEM 49.214844 1537377538.6038
MEM 51.902344 1537377538.7130
MEM 51.902344 1537377538.8076
MEM 51.902344 1537377538.9364
MEM 51.902344 1537377539.0456
MEM 51.902344 1537377539.1256
MEM 51.902344 1537377539.2660
MEM 51.902344 1537377539.3752
MEM 51.902344 1537377539.4844
MEM 51.902344 1537377539.5936
MEM 51.902344 1537377539.7028
MEM 51.902344 1537377539.8120
MEM 51.902344 1537377539.9212
MEM 51.902344 1537377540.0304
MEM 51.902344 1537377540.1396
MEM 51.902344 1537377540.2488
MEM 51.902344 1537377540.3434
MEM 51.902344 1537377540.4682
MEM 51.902344 1537377540.5930
MEM 51.902344 1537377540.7022
MEM 51.902344 1537377540.8134
MEM 51.902344 1537377540.9246
MEM 51.902344 1537377540.9962
MEM 51.902344 1537377541.1320
MEM 51.902344 1537377541.2412
MEM 51.902344 1537377541.3504
MEM 51.902344 1537377541.4596
MEM 51.902344 1537377541.5707
MEM 51.902344 1537377541.6955
MEM 51.902344 1537377541.8047
MEM 51.902344 1537377541.8757
MEM 51.902344 1537377541.9845
MEM 51.902344 1537377542.1247
MEM 51.902344 1537377542.2339
MEM 51.902344 1537377542.3431
MEM 51.902344 1537377542.4143
MEM 51.902344 1537377542.5143
MEM 51.902344 1537377542.6485
MEM 51.902344 1537377542.7431
MEM 51.902344 1537377542.8699
MEM 51.902344 1537377542.9791
MEM 51.902344 1537377543.0883
MEM 51.902344 1537377543.2171
MEM 51.902344 1537377543.3263
MEM 51.902344 1537377543.4355
MEM 51.902344 1537377543.5301
MEM 51.902344 1537377543.6559
MEM 51.902344 1537377543.7651
MEM 51.902344 1537377543.8899
MEM 51.902344 1537377543.9933
MEM 51.902344 1537377544.1025
MEM 51.902344 1537377544.2117
MEM 51.902344 1537377544.3209
MEM 51.902344 1537377544.4331
MEM 51.902344 1537377544.5423
MEM 51.902344 1537377544.6515
MEM 51.902344 1537377544.7315
MEM 51.902344 1537377544.8749
MEM 51.902344 1537377544.9793
MEM 51.902344 1537377545.0885
MEM 51.902344 1537377545.1997
MEM 51.902344 1537377545.3089
MEM 51.902344 1537377545.4181
MEM 51.902344 1537377545.5273
MEM 51.902344 1537377545.6365
MEM 51.902344 1537377545.7457
MEM 51.902344 1537377545.8549
MEM 51.902344 1537377545.9641
MEM 51.902344 1537377546.0733
MEM 51.902344 1537377546.1825
MEM 51.902344 1537377546.2917
MEM 51.902344 1537377546.4029
MEM 51.902344 1537377546.5121
MEM 51.902344 1537377546.6213
MEM 51.902344 1537377546.7305
MEM 51.902344 1537377546.8251
MEM 51.902344 1537377546.9363
MEM 51.902344 1537377547.0611
MEM 51.902344 1537377547.1743
MEM 51.902344 1537377547.2835
MEM 51.902344 1537377547.3937
MEM 51.902344 1537377547.4917
MEM 51.902344 1537377547.6309
MEM 51.902344 1537377547.7401
MEM 51.902344 1537377547.8493
MEM 51.902344 1537377547.9439
MEM 51.902344 1537377548.0687
MEM 51.902344 1537377548.1779
MEM 51.902344 1537377548.2871
MEM 51.902344 1537377548.3963
MEM 51.902344 1537377548.5055
FUNC __main__.benchmark_memory 43.0195 1537377538.4634 43.6406 1537377553.0576
MEM 51.902344 1537377548.6147
MEM 51.902344 1537377548.7239
MEM 51.902344 1537377548.8351
MEM 51.902344 1537377548.9151
MEM 51.902344 1537377549.0555
MEM 51.902344 1537377549.1647
MEM 51.902344 1537377549.3207
MEM 51.902344 1537377549.4299
MEM 51.902344 1537377549.5109
MEM 51.902344 1537377549.6311
MEM 51.902344 1537377549.7403
MEM 51.902344 1537377549.8212
MEM 51.902344 1537377549.9228
MEM 51.902344 1537377550.0640
MEM 51.902344 1537377550.2668
MEM 51.902344 1537377550.3382
MEM 51.902344 1537377550.4704
MEM 51.902344 1537377550.5796
MEM 51.902344 1537377550.6888
MEM 51.902344 1537377550.7980
MEM 51.902344 1537377550.9072
MEM 51.902344 1537377551.0164
MEM 51.902344 1537377551.1256
MEM 51.902344 1537377551.2218
MEM 51.902344 1537377551.3296
MEM 51.902344 1537377551.4544
MEM 51.902344 1537377551.5636
MEM 51.902344 1537377551.6728
MEM 51.902344 1537377551.7820
MEM 51.902344 1537377551.8962
MEM 51.902344 1537377552.0366
MEM 51.902344 1537377552.1468
MEM 51.902344 1537377552.2560
MEM 51.902344 1537377552.3652
MEM 51.902344 1537377552.4744
MEM 51.902344 1537377552.5856
MEM 51.902344 1537377552.7572
MEM 51.902344 1537377552.8664
MEM 51.902344 1537377552.9464
MEM 42.218750 1537377553.0888
